(0, 1, 1.0)
(0, 2, 3.0)
(0, 6, 2.0)
(0, 8, 3.0)
(0, 9, 2.0)
(0, 10, 1.0)
(0, 13, 1.0)
(0, 14, 2.0)
(0, 15, 1.0)
(0, 16, 1.0)
(0, 17, 2.0)
(0, 18, 3.0)
(0, 21, 1.0)
(0, 23, 2.0)
(0, 24, 1.0)
(0, 25, 1.0)
(0, 26, 2.0)
(0, 28, 3.0)
(0, 30, 2.0)
(0, 32, 3.0)
(0, 34, 2.0)
(0, 38, 1.0)
(0, 40, 3.0)
(0, 42, 2.0)
(0, 44, 1.0)
(0, 45, 2.0)
(0, 46, 3.0)
(0, 48, 1.0)
(1, 0, 2.0)
(1, 2, 1.0)
(1, 5, 3.0)
(1, 6, 1.0)
(1, 7, 2.0)
(1, 10, 3.0)
(1, 12, 1.0)
(1, 13, 2.0)
(1, 17, 2.0)
(1, 21, 3.0)
(1, 25, 2.0)
(1, 27, 1.0)
(1, 28, 1.0)
(1, 29, 3.0)
(1, 33, 2.0)
(1, 35, 1.0)
(1, 38, 1.0)
(1, 40, 2.0)
(1, 41, 3.0)
(1, 43, 2.0)
(1, 44, 3.0)
(1, 47, 1.0)
(1, 49, 3.0)
(2, 0, 1.0)
(2, 1, 3.0)
(2, 3, 1.0)
(2, 4, 3.0)
(2, 5, 1.0)
(2, 6, 1.0)
(2, 7, 1.0)
(2, 8, 1.0)
(2, 13, 3.0)
(2, 14, 2.0)
(2, 19, 2.0)
(2, 22, 2.0)
(2, 27, 1.0)
(2, 34, 2.0)
(2, 37, 3.0)
(2, 41, 1.0)
(2, 42, 3.0)
(2, 46, 2.0)
(2, 47, 1.0)
(2, 48, 2.0)
(3, 2, 2.0)
(3, 4, 3.0)
(3, 6, 3.0)
(3, 11, 3.0)
(3, 14, 3.0)
(3, 15, 1.0)
(3, 16, 3.0)
(3, 17, 3.0)
(3, 19, 2.0)
(3, 21, 1.0)
(3, 23, 3.0)
(3, 25, 3.0)
(3, 29, 1.0)
(3, 31, 2.0)
(3, 33, 1.0)
(3, 39, 2.0)
(3, 40, 1.0)
(3, 42, 3.0)
(3, 43, 1.0)
(3, 48, 3.0)
(3, 49, 2.0)
(4, 0, 1.0)
(4, 1, 2.0)
(4, 5, 2.0)
(4, 7, 3.0)
(4, 10, 3.0)
(4, 12, 1.0)
(4, 14, 2.0)
(4, 16, 2.0)
(4, 22, 1.0)
(4, 27, 1.0)
(4, 31, 1.0)
(4, 34, 3.0)
(4, 36, 2.0)
(4, 41, 3.0)
(4, 43, 3.0)
(4, 44, 3.0)
(4, 46, 1.0)
(4, 47, 1.0)
(5, 1, 1.0)
(5, 3, 2.0)
(5, 7, 3.0)
(5, 9, 2.0)
(5, 11, 2.0)
(5, 20, 1.0)
(5, 29, 3.0)
(5, 32, 1.0)
(5, 38, 2.0)
(5, 40, 1.0)
(5, 43, 1.0)
(5, 45, 3.0)
(5, 49, 3.0)
(6, 1, 3.0)
(6, 2, 2.0)
(6, 4, 2.0)
(6, 5, 1.0)
(6, 7, 1.0)
(6, 8, 1.0)
(6, 12, 1.0)
(6, 14, 2.0)
(6, 15, 1.0)
(6, 17, 2.0)
(6, 19, 2.0)
(6, 22, 1.0)
(6, 25, 1.0)
(6, 27, 2.0)
(6, 31, 3.0)
(6, 34, 2.0)
(6, 36, 2.0)
(6, 37, 1.0)
(6, 42, 2.0)
(6, 44, 2.0)
(6, 46, 1.0)
(6, 48, 2.0)
(7, 0, 1.0)
(7, 1, 1.0)
(7, 3, 2.0)
(7, 4, 1.0)
(7, 6, 3.0)
(7, 8, 3.0)
(7, 10, 3.0)
(7, 19, 2.0)
(7, 20, 1.0)
(7, 25, 2.0)
(7, 28, 2.0)
(7, 30, 3.0)
(7, 34, 2.0)
(7, 37, 2.0)
(7, 39, 3.0)
(7, 40, 3.0)
(7, 42, 3.0)
(7, 46, 3.0)
(7, 47, 2.0)
(7, 48, 1.0)
(8, 0, 1.0)
(8, 2, 1.0)
(8, 6, 1.0)
(8, 15, 2.0)
(8, 19, 3.0)
(8, 21, 3.0)
(8, 23, 2.0)
(8, 27, 2.0)
(8, 29, 3.0)
(8, 38, 3.0)
(8, 45, 3.0)
(8, 49, 1.0)
(9, 1, 2.0)
(9, 3, 1.0)
(9, 5, 1.0)
(9, 7, 2.0)
